id,Branch_Name,T_number_1,T_number_2,M_number,F_number,Address,Location_Code,Note,request_by,Company,img,delete_status
49,Nugegoda,0114061399,0,0765440848,0112856691,"No.277-1/1, Stanly Thilakarathna Mawatha, Nugegoda.","6.874794, 79.898451",,Nuwan Athukorala,HNBA,114388651.png,0
50,Panadura,0384743793,0384931035,0774870997,0382243362,"No. 402,404, Galle road, Panadura.","6.714338, 79.907329",,Nuwan Athukorala,HNBA,114388651.png,0
51,Piliyandala,0114216885,0,0773792015,0112606726,"2nd Floor,92/2 Moratuwa Road, Piliyandala","6.800964, 79.920131",,Nuwan Athukorala,HNBA,114388651.png,0
52,Polonnaruwa,0274599241,0,0764199867,0272226800,"No. 125/A, 1st Floor, Batticaloa Road, Polonnaruwa.","7.941299, 81.004666",,Nuwan Athukorala,HNBA,114388651.png,0
53,Puttalam,0324865220,0,0776976474,0322266005,"No. 97 B, Kurunegala Rd, Puttlam.","8.027348, 79.837775",,Nuwan Athukorala,HNBA,114388651.png,0
54,Rathnapura,0454928839,0,0777767988,0452222345,"No 209, 211, Main Street, Rathnapura","6.680043,80.406471",,Nuwan Athukorala,HNBA,114388651.png,0
55,Tangalle,0477684850,0,0,0,"2nd floor, No.23, Sea Avenue, Tangalle","6.026981, 80.795071",,Nuwan Athukorala,HNBA,114388651.png,0
56,Tissamaharama,0474927187,0,0774414987,0472239544,"No. 81/5A, Bus Stand Avenue, Tissamaharama.","6.276945, 81.287428",,Nuwan Athukorala,HNBA,114388651.png,0
57,Thambuttegama,0254939332,0,0768892665,0252275601,"284/C, Anuradhapura Road, Thambuttegama","8.157967, 80.298060",,Nuwan Athukorala,HNBA,114388651.png,0
58,Trincomalee,0264595330,0,0779954264,0262223950,"No. 62/1, MPCS Shopping Complex, Main Street, Trincomalee.","8.577274, 81.232785",,Nuwan Athukorala,HNBA,114388651.png,0
59,Vavuniya,0244588606,0,0777260967,0242225161,"No.65 A, 1st Floor, 1st Cross Street,Vavuniya","8.752748, 80.499513",,Nuwan Athukorala,HNBA,114388651.png,0
60,Wattala,0114325059,0,07636100,0112982922,"No. 218/1/1, Negambo Road, Wattala","6.980936, 79.888364",,Nuwan Athukorala,HNBA,114388651.png,0
61,Wellawatta,0114335931,0,0775600776,0112554431,"285, 3rd floor, Galle road, colombo 04","6.886532, 79.857868",,Nuwan Athukorala,HNBA,114388651.png,0
62,Valachchene,0654929577,0,0776975704,0652258958,"Vipulananda Road, Valachchene","7.923546, 81.530914",,Nuwan Athukorala,HNBA,114388651.png,0
63,Madawachchiya,0254549902,0,0763496390,0,"102/C, 1st Floor,Jaffna Road, Madawachchiya","8.541167, 80.491844",,Nuwan Athukorala,HNBA,114388651.png,0
64,Ampara,0634976211,0,0776705795,0632224435,"1st Floor, No.8/B,03rd Lane, D.S.Senanayake Street, Ampara.","7.290643, 81.674969",,Nuwan Athukorala,HNBGI,1460201875.png,0
65,Ambalangoda,0914946421,0,0777767991,0912255268,"No. 14 B 1/1, Wickramasooriya Road, Ambalangoda.","6.238631, 80.053566",,Nuwan Athukorala,HNBGI,1460201875.png,0
66,Ambalantota,0474935211,0,0773823854,0472225494,"No. 55/1,Main Street, Ambalantota.","6.122499, 81.022609",,Nuwan Athukorala,HNBGI,1460201875.png,0
67,Anuradhapura,0254928741,0254934593,0777726813,0252223494,"No. 249 A, Maithripala Senanayaka Mw, Anuradhapura.","8.340856, 80.411457",Other Numbers - 025 - 2225772 /  025 - 4929162,Nuwan Athukorala,HNBGI,1460201875.png,0
68,Avissawella,0364976211,0,0776521159,0362233855,"No. 151 A, Colombo Rd, Avissawella.","6.953716, 80.204417",,Nuwan Athukorala,HNBGI,1460201875.png,0
69,Badulla,0554499750,0,0779318750,0552224260,"No. 13, Udaya Raja Mawatha, Badulla."," 6.986479, 81.058595 ",,Nuwan Athukorala,HNBGI,1460201875.png,0
70,Bandarawela ,0574976211,0,0771766961,0572224944,"No: 348, 1st & 2nd Floor, Badulla road, Bandarawela.","6.829683, 80.995049",,Nuwan Athukorala,HNBGI,1460201875.png,0
71,Balangoda,0454935211,0,0,0452287809,"No. 71 A, 1st Floor, Barnes Rathwatte Mw, Balangoda.","6.6499, 80.69812",,Nuwan Athukorala,HNBGI,1460201875.png,0
72,Batticaloa,0654976211,0,0773792881,0652227767,"No. 116A, 2nd floor, Bazaar Street, Batticaloa.","7.713337,81.699085",,Nuwan Athukorala,HNBGI,1460201875.png,0
73,Chilaw,0324934211,0,0776703394,0322220950,"No. 98 A , Colombo Road, Chilaw.","7.569753, 79.798714",,Nuwan Athukorala,HNBGI,1460201875.png,0
74,Col. North,0114347239,0,0776706276,0112338154,"No. 88, 3 rd Floor, Main street, Colombo 11.","6.93708, 79.85022",,Nuwan Athukorala,HNBGI,1460201875.png,0
75,Col. South,0114693205,0,0,0112500059,"No. 166 2/1, 2nd Floor, Havelock Road, Colombo 05.","6.89142, 79.86278",,Nuwan Athukorala,HNBGI,1460201875.png,0
76,Dambulla,0664468130,0,0773472764,0662283408,"No.693, Anuradhapura Road, Dambulla.","7.879228, 80.650160",,Nuwan Athukorala,HNBGI,1460201875.png,0
77,Deniyaya,0414929375,0,0773470030,0412273999,"First & second Floors, Main Street, Deniyaya.","6.345478, 80.559478",,Nuwan Athukorala,HNBGI,1460201875.png,0
78,Embilipitiya,0474935212,0474987240,0765400376,0472261914,"1st Floor, Sarathchandra Building, Embilipititya.","6.332234, 80.855612",,Nuwan Athukorala,HNBGI,1460201875.png,0
79,Galle,0914946521,0914946429,0776968590,0912233877,"No. 46/1/1, Colombo Road, Kaluwella, Galle.","6.035155, 80.210893",,Nuwan Athukorala,HNBGI,1460201875.png,0
80,Gampaha,0334743793,0,0777260979,0332231588,"No. 64 1/1 & 64 2/1, Mary Biso Mawatha, Gampaha.","7.092050, 79.999771",,Nuwan Athukorala,HNBGI,1460201875.png,0
81,Gampola,0814976211,0,0777767989,0812350332,"No. 10D, Nidahas Mawatha, Gampola.","7.162489, 80.564743",,Nuwan Athukorala,HNBGI,1460201875.png,0
82,Hatton,0514976211,0,0773823858,0512222763,"No. 171-1/9, 1st Floor, DKW Commercial Complex, Dimbula Rd , Hatton.","6.892895, 80.597186",,Nuwan Athukorala,HNBGI,1460201875.png,0
83,Horana,0344976211,0,0776788357,0342260031,"No. 165 1/1, 1st Floor, Rathnapura road, Horana.","6.717605,80.066493",,Nuwan Athukorala,HNBGI,1460201875.png,0
84,Ja - Ela,0114389211,0,0777808971,0112228705,"No. 158 1/1, Old Negombo Road, Ja - Ela.","7.082864, 79.892231",,Nuwan Athukorala,HNBGI,1460201875.png,0
85,Jaffna,0214590426,0,0772858734,0212217466,"No. 62/3  1/1, 1 st & 2nd floors, Stanley Road, Jaffna.","9.668836, 80.012541",,Nuwan Athukorala,HNBGI,1460201875.png,0
86,Kalmunai,0674976211,0,0772858956,0672222375,"No. 220 1/1,  1st floor, Batticaloa Road, Kalmunei.","7.418973, 81.822990",,Nuwan Athukorala,HNBGI,1460201875.png,0
87,Kalutara,0344941111,0,0773502558,0342228188,"No. 574, Galle Road, Kalutara South, Kalutara.","6.571368, 79.965062",,Nuwan Athukorala,HNBGI,1460201875.png,0
88,Kandy,0814743793,0814940273,0777260984,0812202456,"No. 12, Heerassagala Road, Kandy.","7.278106, 80.618002",,Nuwan Athukorala,HNBGI,1460201875.png,0
89,Kegalle,0354976211,0354935935,077270781,0352230649,"No. 304 1/1, Main Street, Kegalle.","7.253520, 80.350422",,Nuwan Athukorala,HNBGI,1460201875.png,0
90,Kiribatgoda,0114389212,0,0773823834,0112910811,"No. 277/2/1, 2nd floor, Kandy Road, Dalugama, Kelaniya","6.973520, 79.921198",,Nuwan Athukorala,HNBGI,1460201875.png,0
91,Killinochchi,0214923559,0,077767997,0212283828,"1st Floor, A9 Road, Karadipoku, Killinochchi.","9.40686, 80.40779",,Nuwan Athukorala,HNBGI,1460201875.png,0
92,Kuliyapitiya,0374976211,0,0776705164,0372281818,"No. 209, Hettipola  Road, Kuliyapitiya.","7.473303, 80.044208",,Nuwan Athukorala,HNBGI,1460201875.png,0
93,Kurunegala,0374939929,0,0772858691,0372231670,"3rd floor, 55/3/1, Kings groove building , Rajapilla Road, Kurunegala","7.483755, 80.366521",,Nuwan Athukorala,HNBGI,1460201875.png,0
94,Maharagama,0114367400,0,0,0112844115,"No. 135, 2 nd floor, High Level Rd, Maharagama.","6.849440, 79.923689",,Nuwan Athukorala,HNBGI,1460201875.png,0
95,Mahiyanganaya,0554936211,0,0777851621,0552257295,"2nd floor, Kasun Building, Buddhagayawa road, Mahiyanganaya.","7.340056, 80.995294",,Nuwan Athukorala,HNBGI,1460201875.png,0
96,Matale,0664976211,0,0,0662231288,"No. 96/2/1, 2nd floor, Rajaweediya, Matale.","7.470968, 80.623140",,Nuwan Athukorala,HNBGI,1460201875.png,0
97,Malambe,0114449991,0,0763495327,0112788700,"No. 757/28, 1st Floor, Kaduwela Rd, Talahena, Malambe.","6.903413, 79.957082",,Nuwan Athukorala,HNBGI,1460201875.png,0
98,Matara,0414976211,0414390578,0777260964,0414390850,"No. 234,  Anagarika Dharmapala Mw, Matara.","5.949200, 80.539516", Other Numbers - 041 - 2231511,Nuwan Athukorala,HNBGI,1460201875.png,0
99,Monaragala,0554936212,0,0779318750,0552277272,"No. 145 & 147, Wellawaya Rd, Monaragala.","6.87071, 81.3496",,Nuwan Athukorala,HNBGI,1460201875.png,0
100,Mannar,0234976211,0,0774425318,0232251301,"No.57/6, 2nd Cross Street, Pettah, Mannar. ","8.980110, 79.911186",,Nuwan Athukorala,HNBGI,1460201875.png,0
101,Manipay,0214927211,0,0773473050,0212255049,"Second floor, Prem plaza, Yarl road, manipay","9.719311, 79.996665",,Nuwan Athukorala,HNBGI,1460201875.png,0
102,Moratuwa,0114389213,0,0,0112645720,"No.566/1/1, Rawathawatte, Moratuwa.",-,,Nuwan Athukorala,HNBGI,1460201875.png,0
103,Negambo,0314976211,0,0775253902,0312231365,"No.96 , 1st floor, Colombo road, Negombo.","7.212968, 79.847686",,Nuwan Athukorala,HNBGI,1460201875.png,0
104,Nelliady,0214927212,0,0776723479,0212262400,"No. 58/01, 2nd Floor,","9.800477, 80.202947",,Nuwan Athukorala,HNBGI,1460201875.png,0
105,Nittmbuwa,0334944626,0,0776521186,0332245399,"No. 39/1/1, 1 st floor, Kandy  Road, Nittambuwa","7.144896, 80.095781",,Nuwan Athukorala,HNBGI,1460201875.png,0
106,Nuwara Eliya,0524976211,0,0773470318,0522235991,"48 1/1, 1st Floor, Siva Complex, Lowsons street, Nuwara eliya","6.973544, 80.766629",,Nuwan Athukorala,HNBGI,1460201875.png,0
107,Panadura,0384976211,0384933066,0772858875,0382243362,"No. 402-404, Galle road, Panadura.","6.714338, 79.907329",,Nuwan Athukorala,HNBGI,1460201875.png,0
108,Piliyandala,0114389214,0,0776983290,0112606726,"No. 63, HNB Building, 2nd floor, Moratuwa Rd, Piliyandala.","6.800964, 79.920131",,Nuwan Athukorala,HNBGI,1460201875.png,0
109,Polonnaruwa,0274976211,0,0772480175,0272226800,"No. 125, 1st Floor, Batticaloa Road, Polonnaruwa.","7.941299, 81.004666",,Nuwan Athukorala,HNBGI,1460201875.png,0
110,Puttalam,0324934212,0,0777263913,0322266005,"No. 97 B, 1, first floor, Kurunegala Rd, Puttlam.","8.027348, 79.837775",,Nuwan Athukorala,HNBGI,1460201875.png,0
111,Rathnapura,0454935212,0454928838,07775990,0452222345,"No. 211 2/1 & 3/1, Main Street, Rathnapura.","6.680043,80.406471", Other Numbers - 045 - 4930021,Nuwan Athukorala,HNBGI,1460201875.png,0
112,Tissamaharama,0474935213,0,0772858923,0472239544,"No. 81/5A, first floor, Bus Stand Avenue, Tissamaharama.","6.276945, 81.287428",,Nuwan Athukorala,HNBGI,1460201875.png,0
113,Thambuttegama,0254932278,0,0777340012,0252275601,"No. 284/C, first floor, Kurunegala road, Thambuttegama.","8.157967, 80.298060",,Nuwan Athukorala,HNBGI,1460201875.png,0
114,HNB Towers,0112660124,0114743793,0776706196,011 2662744 / 011 ,"HNB H/O, Level 02, No. 479, T.B.Jayah Mawatha, Colombo 10.",-,,Nuwan Athukorala,HNBGI,1460201875.png,0
115,Trincomalee,0264743793,0,0774425318,0262223950,"No. 62, Main street, Trincomalee.","8.577274, 81.232785",,Nuwan Athukorala,HNBGI,1460201875.png,0
116,Vavuniya,0244976211,0,0773473033,0242225161,"No.65 A -1/1, 1st Floor, 1st Cross Street, Vavuniya","8.752748, 80.499513",,Nuwan Athukorala,HNBGI,1460201875.png,0
117,Bambalapitiya,0114322990,0,0779706276,0112554431,"3rd floor, No. 285, Galle road, Colombo 04","6.886532, 79.857868",,Nuwan Athukorala,HNBGI,1460201875.png,0
